Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.439649027358715,0.842870275073656,b3553,b4382,b3942,b1732,b1241,b0351,b4069,b4384,b3926,b0512,b2297,b2458,b3617,b2407,b1004,b3713,b1109,b0046,b2210,b1033,b1602,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b1518,b0606,b2285,b4209,,,,,,,,,,,,
32,0.489477504043297,0.213374012522644,b4467,b3942,b1732,b4069,b3926,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b3551,b1602,b4219,b1832,b1778,b4381,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b1710,b2480,b1518,b0606,b2285,b4209,,,,,,,,,,,,
33,0.493011538438751,0.228146512490555,b4467,b3831,b4069,b4384,b0512,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3236,b1638,b4139,b2498,b1602,b3654,b3714,b3664,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b3029,b1380,b2660,b1518,b2285,b1011,,,,,,,,,,,
34,0.52582773588994,0.223406151567402,b4467,b3942,b1732,b4069,b3708,b3926,b2297,b2458,b1004,b3713,b1109,b0046,b2797,b3117,b1814,b4471,b2210,b1602,b4381,b4064,b4464,b0114,b1539,b2492,b0904,b1533,b2835,b1380,b0494,b0516,b1511,b0606,b2285,b4209,,,,,,,,,,
35,0.447907725390841,0.20690589745429,b3553,b3942,b1732,b4069,b4384,b2744,b3115,b1849,b2296,b2925,b2097,b2407,b1004,b3713,b1109,b0046,b3946,b2210,b0825,b1033,b4374,b2361,b2291,b1602,b1727,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b0606,b2285,b4209,,,,,,,,,
35,0.50251069996169,0.0442523485025028,b4467,b4382,b1241,b0351,b4384,b0871,b2407,b1004,b3713,b1109,b0046,b3236,b1779,b1701,b1805,b1602,b2913,b3915,b3654,b3714,b3664,b1727,b4064,b4464,b0529,b2492,b0904,b1380,b1771,b1517,b0606,b0221,b2285,b1009,b4209,,,,,,,,,
37,0.504983040452741,0.214549956108208,b3553,b1478,b4382,b1241,b4069,b4384,b3708,b2297,b2458,b2407,b1004,b3713,b1109,b0046,b3236,b2797,b3117,b1814,b4471,b3449,b1033,b1602,b2913,b3654,b3714,b3664,b4064,b4464,b0114,b0529,b1539,b2492,b0904,b1380,b0515,b1517,b2285,,,,,,,
38,0.493029135060752,0.228081029923954,b4467,b3399,b3831,b4069,b2502,b2744,b3926,b3115,b1849,b2296,b1004,b3713,b1109,b0046,b3236,b1638,b3908,b1656,b4139,b2498,b2361,b2291,b0261,b1602,b3654,b3714,b3664,b4064,b4464,b0114,b0529,b2492,b0904,b1380,b2660,b0515,b2285,b1010,,,,,,
43,0.33913791991151,0.306553831177383,b4467,b1478,b0469,b4382,b4269,b0493,b3846,b3588,b2341,b3003,b3011,b1241,b4384,b0871,b2925,b2097,b2926,b2407,b1004,b3713,b1109,b0046,b3236,b2690,b4015,b2799,b3945,b1602,b3915,b3654,b3714,b3664,b4064,b4464,b0529,b2492,b0904,b1380,b2660,b0606,b2285,b1007,b4209,
44,0.411064660473533,0.0433969594368123,b3553,b1478,b0238,b0125,b1241,b4069,b4384,b2930,b4232,b3697,b3925,b3115,b1849,b2296,b2926,b1004,b3713,b1109,b0046,b3236,b1638,b0477,b1302,b2662,b4139,b3946,b0825,b1033,b4015,b2799,b3945,b1602,b3915,b4064,b4464,b2492,b0904,b2954,b3029,b1380,b2660,b0221,b2285,b1007
