Deletion size,Max growth rate,Min production rate,Deleted genes,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.27755858325943,0.596464235991274,STM2927,STM3747,STM1749,STM2463,STM3680,STM4568,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM3708,,,,,,,,,,
16,0.28242946663297,0.576031560536455,STM2927,STM1463,STM3747,STM0413,STM1749,STM2463,STM3680,STM4567,STM3709,STM0974,STM0152,STM0150,STM0542,STM0935,STM2332,STM4559_S,,,,,,,,,,
16,0.282422893737672,0.576018154728701,STM3747,STM2421,STM1749,STM2463,STM3680,STM4567,STM4570,STM0974,STM0152,STM0150,STM0542,STM0935,STM2422,STM3885,STM3793,STM3708,,,,,,,,,,
17,0.270565657222176,0.657673683373594,STM2927,STM1749,STM2463,STM4275,STM2009,STM1750,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,STM0208,STM3708,,,,,,,,,
17,0.270565657222182,0.657673683373608,STM2927,STM1749,STM2463,STM4275,STM2009,STM4567,STM1750,STM4570,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM3708,,,,,,,,,
17,0.270565657222172,0.657673683373604,STM2927,STM1749,STM2463,STM4275,STM2009,STM4567,STM1750,STM4570,STM3709,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,,,,,,,,,
17,0.274588375272038,0.641498854078035,STM2927,STM1463,STM3747,STM2421,STM1749,STM2463,STM4275,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM2332,STM0208,STM3708,STM4559_S,,,,,,,,,
17,0.275025543223699,0.638424494200344,STM2927,STM1749,STM2463,STM4275,STM2009,STM0974,STM0152,STM0150,STM0542,STM2502,STM2501,STM2338,STM2466,STM2332,STM2467,STM3708,STM4559_S,,,,,,,,,
17,0.276023593075365,0.630422981310121,STM3747,STM0051,STM2421,STM1749,STM2463,STM4275,STM0661,STM2122,STM4570,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,STM3708,,,,,,,,,
17,0.276023593075383,0.630422981310163,STM3747,STM2421,STM1749,STM2463,STM4275,STM2122,STM4570,STM3709,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,STM3885,STM3793,,,,,,,,,
17,0.283248536383974,0.569265827211109,STM2927,STM0051,STM1749,STM2463,STM0661,STM3680,STM2009,STM0974,STM0152,STM0150,STM0542,STM0935,STM4569,STM2332,STM3708,STM3334,STM4559_S,,,,,,,,,
17,0.282903520467317,0.572785422073944,STM2927,STM0413,STM1749,STM2463,STM3680,STM2009,STM4570,STM3709,STM0974,STM0152,STM0170,STM0317,STM0150,STM0542,STM0935,STM2332,STM4559_S,,,,,,,,,
18,0.270142541862472,0.660668164370052,STM2927,STM1463,STM3747,STM0413,STM1749,STM2463,STM4275,STM4567,STM1750,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM2338,STM2466,STM3708,,,,,,,,
18,0.29550811704651,0.0370027876462674,STM2927,STM1749,STM2463,STM3680,STM2009,STM1884,STM3709,STM0974,STM0152,STM1326,STM4062,STM0150,STM0542,STM0935,STM4569,STM0208,STM3334,STM4559_S,,,,,,,,
18,0.270136528420755,0.660653457728568,STM2927,STM1463,STM3747,STM0413,STM1749,STM2463,STM4275,STM1750,STM3709,STM0694,STM3045,STM0974,STM0152,STM0150,STM0542,STM4569,STM2338,STM2466,,,,,,,,
19,0.276073956496215,0.630538008643654,STM2927,STM1463,STM3747,STM2421,STM1749,STM2463,STM4275,STM4567,STM1718,STM0974,STM0152,STM0150,STM0542,STM2502,STM2501,STM2338,STM2466,STM2050,STM3708,,,,,,,
24,0.271041432464288,0.420595454380997,STM3010,STM3747,STM0051,STM2421,STM1749,STM2463,STM4275,STM1290,STM4568,STM4570,STM1511,STM0974,STM0152,STM0150,STM2338,STM2466,STM2422,STM2196,STM3240,STM2970,STM3243,STM3708,STM2971,STM1826,,
25,0.273210696695701,0.401542542112518,STM2927,STM0051,STM1749,STM2463,STM4275,STM2009,STM2952,STM0974,STM0152,STM0150,STM3957,STM4569,STM2338,STM2466,STM2332,STM3968,STM3802,STM2196,STM3240,STM2970,STM3243,STM3708,STM2971,STM1826,STM4559_S,
26,0.297714785366742,0.494558889156993,STM3010,STM2927,STM3747,STM0413,STM1749,STM2463,STM4275,STM4570,STM1511,STM0584,STM0694,STM3045,STM0974,STM0152,STM0150,STM2338,STM2466,STM2332,STM2196,STM3240,STM2970,STM3243,STM3708,STM2971,STM1826,STM4559_S
26,0.303123550692357,0.470379699437166,STM2927,STM1463,STM3747,STM0413,STM1749,STM2463,STM4275,STM1511,STM0584,STM3709,STM0506,STM3961,STM0974,STM0152,STM0150,STM4569,STM2338,STM2466,STM2332,STM2196,STM3240,STM2970,STM3243,STM2971,STM1826,STM4559_S
